# ell,D_ell
423,2.2442847944e+03
424,2.2107725264e+03
425,2.1777546188e+03
426,2.1452394388e+03
427,2.1132130684e+03
428,2.0816987315e+03
429,2.0506750819e+03
430,2.0201504866e+03
431,1.9901333129e+03
432,1.9606170712e+03
433,1.9316175569e+03
434,1.9031208522e+03
435,1.8751427525e+03
436,1.8476841968e+03
437,1.8207461236e+03
438,1.7943294720e+03
439,1.7684426089e+03
440,1.7430790448e+03
441,1.7182397186e+03
442,1.6939181407e+03
443,1.6701226782e+03
444,1.6468468415e+03
445,1.6240915695e+03
446,1.6018578010e+03
447,1.5801464747e+03
448,1.5589733862e+03
449,1.5383320459e+03
450,1.5182233926e+03
451,1.4986547147e+03
452,1.4796289861e+03
453,1.4611258169e+03
454,1.4431471023e+03
455,1.4256798806e+03
456,1.4087186188e+03
457,1.3922577836e+03
458,1.3762844134e+03
459,1.3607855468e+03
460,1.3457779355e+03
461,1.3312337614e+03
462,1.3171772046e+03
463,1.3035804469e+03
464,1.2904676684e+03
465,1.2778110511e+03
466,1.2656273466e+03
467,1.2539035935e+03
468,1.2426268302e+03
469,1.2317989518e+03
470,1.2214069969e+03
471,1.2114380039e+03
472,1.2018938678e+03
473,1.1927616273e+03
474,1.1840431774e+03
475,1.1757329849e+03
476,1.1678329451e+03
477,1.1603300963e+03
478,1.1532337620e+03
479,1.1465458375e+03
480,1.1402459327e+03
481,1.1343507997e+03
482,1.1288326200e+03
483,1.1237007173e+03
484,1.1189421300e+03
485,1.1145438965e+03
486,1.1105153404e+03
487,1.1068435000e+03
488,1.1035228423e+03
489,1.1005626906e+03
490,1.0979500835e+03
491,1.0956869162e+03
492,1.0937750836e+03
493,1.0922164812e+03
494,1.0910055755e+03
495,1.0901368335e+03
496,1.0896121503e+03
497,1.0894185643e+03
498,1.0895579707e+03
499,1.0900248363e+03
500,1.0908136279e+03
501,1.0919175556e+03
502,1.0933322307e+03
503,1.0950445796e+03
504,1.0970489568e+03
505,1.0993471453e+03
506,1.1019186430e+03
507,1.1047652331e+03
508,1.1078738416e+03
509,1.1112313949e+03
510,1.1148471044e+03
511,1.1186930396e+03
512,1.1227784118e+03
513,1.1270827190e+03
514,1.1316003158e+03
515,1.1363255568e+03
516,1.1412527967e+03
517,1.1463689617e+03
518,1.1516609782e+03
519,1.1571306290e+03
520,1.1627574122e+03
521,1.1685431107e+03
522,1.1744746508e+03
523,1.1805389587e+03
524,1.1867452459e+03
525,1.1930730101e+03
526,1.1995314629e+03
527,1.2061075304e+03
528,1.2127955672e+03
529,1.2195899281e+03
530,1.2264923959e+03
531,1.2334824687e+03
532,1.2405693577e+03
533,1.2477399892e+03
534,1.2549812895e+03
535,1.2623024699e+03
536,1.2696830284e+03
537,1.2771321763e+03
538,1.2846368399e+03
539,1.2921988021e+03
540,1.2997975609e+03
541,1.3074497560e+03
542,1.3151423136e+03
543,1.3228621601e+03
544,1.3306185066e+03
545,1.3384057080e+03
546,1.3462106905e+03
547,1.3540352369e+03
548,1.3618737021e+03
549,1.3697204405e+03
550,1.3775698069e+03
551,1.3854306852e+03
552,1.3932809366e+03
553,1.4011278082e+03
554,1.4089711190e+03
555,1.4167958310e+03
556,1.4245943348e+03
557,1.4323813059e+03
558,1.4401342781e+03
559,1.4478530703e+03
560,1.4555300729e+03
561,1.4631725333e+03
562,1.4707579851e+03
563,1.4782936756e+03
564,1.4857794236e+03
565,1.4931927629e+03
566,1.5005409407e+03
567,1.5078237760e+03
568,1.5150262307e+03
569,1.5221481238e+03
570,1.5291818459e+03
571,1.5361272156e+03
572,1.5429840519e+03
573,1.5497447453e+03
574,1.5564016863e+03
575,1.5629695504e+03
576,1.5694258714e+03
577,1.5757853250e+03
578,1.5820328731e+03
579,1.5881683348e+03
580,1.5941915288e+03
581,1.6001022739e+03
582,1.6058929608e+03
583,1.6115559798e+03
584,1.6170985783e+03
585,1.6225131466e+03
586,1.6277920753e+03
587,1.6329351833e+03
588,1.6379497177e+03
589,1.6428132123e+03
590,1.6475403427e+03
591,1.6521234995e+03
592,1.6565550730e+03
593,1.6608348822e+03
594,1.6649553175e+03
595,1.6689236261e+03
596,1.6727321987e+03
597,1.6763734255e+03
598,1.6798471256e+03
599,1.6831531177e+03
600,1.6862837924e+03
601,1.6892471844e+03
602,1.6920247659e+03
603,1.6946433666e+03
604,1.6970852462e+03
605,1.6993549493e+03
606,1.7014644491e+03
607,1.7034034336e+03
608,1.7051838758e+03
609,1.7068103205e+03
610,1.7082650273e+03
611,1.7095748261e+03
612,1.7107219764e+03
613,1.7117110230e+03
614,1.7125613674e+03
615,1.7132478408e+03
616,1.7137972731e+03
617,1.7141993521e+03
618,1.7144586228e+03
619,1.7145722013e+03
620,1.7145446326e+03
621,1.7143878895e+03
622,1.7140916602e+03
623,1.7136530610e+03
624,1.7130840650e+03
625,1.7123817885e+03
626,1.7115507764e+03
627,1.7105807165e+03
628,1.7094910104e+03
629,1.7082639176e+03
630,1.7069114113e+03
631,1.7054306079e+03
632,1.7038186236e+03
633,1.7020874316e+03
634,1.7002267200e+03
635,1.6982410333e+03
636,1.6961349164e+03
637,1.6939054856e+03
638,1.6915498573e+03
639,1.6890725762e+03
640,1.6864707586e+03
641,1.6837489494e+03
642,1.6808968365e+03
643,1.6779338213e+03
644,1.6748347351e+03
645,1.6716189795e+03
646,1.6682836707e+03
647,1.6648184967e+03
648,1.6612280024e+03
649,1.6575093040e+03
650,1.6536743747e+03
651,1.6497065780e+03
652,1.6456159783e+03
653,1.6414137441e+03
654,1.6371036153e+03
655,1.6326967603e+03
656,1.6281820624e+03
657,1.6235781182e+03
658,1.6188886679e+03
